Postnummer,Test
0010,abc
0015,abc
0018,abc
0026,abc
0045,abc
0050,abc
0139,abc
0150,abc
0151,abc
0152,abc
0153,abc
0154,abc
0155,abc
0157,abc
0158,abc
0159,abc
0160,abc
0161,abc
0162,abc
0164,abc
0165,abc
0166,abc
0167,abc
0168,abc
0169,abc
0170,abc
0171,abc
0172,abc
0173,abc
0174,abc
0175,abc
0176,abc
0177,abc
0178,abc
0179,abc
0180,abc
0181,abc
0182,abc
0183,abc
0184,abc
0185,abc
0186,abc
0187,abc
0188,abc
0190,abc
0191,abc
0192,abc
0193,abc
0194,abc
0195,abc
0196,abc
0198,abc
0250,abc
0251,abc
0252,abc
0253,abc
0254,abc
0255,abc
0256,abc
0257,abc
0258,abc
0259,abc
0260,abc
0262,abc
0263,abc
0264,abc
0265,abc
0266,abc
0267,abc
0268,abc
0270,abc
0271,abc
0272,abc
0273,abc
0274,abc
0275,abc
0276,abc
0277,abc
0278,abc
0279,abc
0280,abc
0281,abc
0282,abc
0283,abc
0284,abc
0286,abc
0287,abc
0313,abc
0340,abc
0349,abc
0350,abc
0351,abc
0352,abc
0353,abc
0354,abc
0355,abc
0356,abc
0357,abc
0358,abc
0359,abc
0360,abc
0361,abc
0362,abc
0363,abc
0364,abc
0365,abc
0366,abc
0367,abc
0368,abc
0369,abc
0370,abc
0371,abc
0372,abc
0373,abc
0374,abc
0375,abc
0376,abc
0377,abc
0378,abc
0379,abc
0380,abc
0381,abc
0382,abc
0383,abc
0445,abc
0450,abc
0451,abc
0452,abc
0454,abc
0455,abc
0456,abc
0457,abc
0458,abc
0459,abc
0460,abc
0461,abc
0462,abc
0463,abc
0464,abc
0465,abc
0467,abc
0468,abc
0469,abc
0470,abc
0472,abc
0473,abc
0474,abc
0475,abc
0476,abc
0477,abc
0478,abc
0479,abc
0480,abc
0481,abc
0482,abc
0483,abc
0484,abc
0485,abc
0486,abc
0487,abc
0488,abc
0489,abc
0490,abc
0491,abc
0492,abc
0493,abc
0494,abc
0495,abc
0496,abc
0550,abc
0551,abc
0552,abc
0553,abc
0554,abc
0555,abc
0556,abc
0557,abc
0558,abc
0559,abc
0560,abc
0561,abc
0562,abc
0563,abc
0564,abc
0565,abc
0566,abc
0567,abc
0568,abc
0569,abc
0570,abc
0571,abc
0572,abc
0573,abc
0574,abc
0575,abc
0576,abc
0577,abc
0578,abc
0579,abc
0580,abc
0581,abc
0582,abc
0583,abc
0584,abc
0585,abc
0586,abc
0587,abc
0588,abc
0589,abc
0590,abc
0591,abc
0592,abc
0593,abc
0594,abc
0595,abc
0596,abc
0597,abc
0598,abc
0650,abc
0651,abc
0652,abc
0653,abc
0654,abc
0655,abc
0656,abc
0657,abc
0658,abc
0659,abc
0660,abc
0661,abc
0662,abc
0663,abc
0664,abc
0665,abc
0666,abc
0667,abc
0668,abc
0669,abc
0670,abc
0671,abc
0672,abc
0673,abc
0674,abc
0675,abc
0676,abc
0677,abc
0678,abc
0679,abc
0680,abc
0681,abc
0682,abc
0683,abc
0684,abc
0685,abc
0686,abc
0687,abc
0688,abc
0689,abc
0690,abc
0691,abc
0692,abc
0693,abc
0694,abc
0750,abc
0751,abc
0752,abc
0753,abc
0754,abc
0755,abc
0756,abc
0757,abc
0758,abc
0760,abc
0763,abc
0764,abc
0765,abc
0766,abc
0767,abc
0768,abc
0770,abc
0771,abc
0772,abc
0773,abc
0774,abc
0775,abc
0776,abc
0777,abc
0778,abc
0779,abc
0781,abc
0782,abc
0783,abc
0784,abc
0785,abc
0786,abc
0787,abc
0788,abc
0789,abc
0790,abc
0791,abc
0850,abc
0851,abc
0852,abc
0853,abc
0854,abc
0855,abc
0856,abc
0857,abc
0858,abc
0860,abc
0861,abc
0862,abc
0863,abc
0864,abc
0870,abc
0871,abc
0872,abc
0873,abc
0874,abc
0875,abc
0876,abc
0877,abc
0880,abc
0881,abc
0882,abc
0883,abc
0884,abc
0890,abc
0891,abc
0950,abc
0951,abc
0952,abc
0953,abc
0954,abc
0955,abc
0956,abc
0957,abc
0958,abc
0959,abc
0960,abc
0962,abc
0963,abc
0964,abc
0968,abc
0969,abc
0970,abc
0971,abc
0972,abc
0973,abc
0975,abc
0976,abc
0977,abc
0978,abc
0979,abc
0980,abc
0981,abc
0982,abc
0983,abc
0984,abc
0985,abc
0986,abc
0987,abc
0988,abc
1051,abc
1052,abc
1053,abc
1054,abc
1055,abc
1056,abc
1061,abc
1062,abc
1063,abc
1064,abc
1065,abc
1067,abc
1068,abc
1069,abc
1071,abc
1081,abc
1083,abc
1084,abc
1086,abc
1087,abc
1088,abc
1089,abc
1150,abc
1151,abc
1152,abc
1153,abc
1154,abc
1155,abc
1156,abc
1157,abc
1158,abc
1160,abc
1161,abc
1162,abc
1163,abc
1164,abc
1165,abc
1166,abc
1167,abc
1168,abc
1169,abc
1170,abc
1172,abc
1176,abc
1177,abc
1178,abc
1179,abc
1181,abc
1182,abc
1184,abc
1185,abc
1187,abc
1188,abc
1189,abc
1250,abc
1251,abc
1252,abc
1253,abc
1254,abc
1255,abc
1256,abc
1257,abc
1258,abc
1259,abc
1262,abc
1263,abc
1266,abc
1270,abc
1271,abc
1272,abc
1273,abc
1274,abc
1275,abc
1278,abc
1279,abc
1281,abc
1283,abc
1284,abc
1285,abc
1286,abc
1290,abc
1291,abc
1294,abc
1295,abc
1311,abc
1336,abc
1337,abc
1338,abc
1339,abc
1340,abc
1341,abc
1344,abc
1346,abc
1348,abc
1349,abc
1350,abc
1351,abc
1352,abc
1353,abc
1354,abc
1356,abc
1357,abc
1358,abc
1359,abc
1360,abc
1361,abc
1362,abc
1363,abc
1364,abc
1365,abc
1366,abc
1367,abc
1368,abc
1369,abc
1383,abc
1384,abc
1385,abc
1386,abc
1387,abc
1388,abc
1389,abc
1390,abc
1391,abc
1392,abc
1394,abc
1395,abc
1396,abc
1397,abc
1400,abc
1404,abc
1405,abc
1406,abc
1407,abc
1408,abc
1409,abc
1410,abc
1412,abc
1413,abc
1414,abc
1415,abc
1420,abc
1430,abc
1433,abc
1434,abc
1435,abc
1440,abc
1443,abc
1444,abc
1445,abc
1446,abc
1447,abc
1448,abc
1449,abc
1450,abc
1452,abc
1453,abc
1454,abc
1455,abc
1456,abc
1458,abc
1459,abc
1465,abc
1466,abc
1467,abc
1470,abc
1472,abc
1473,abc
1474,abc
1475,abc
1476,abc
1479,abc
1480,abc
1481,abc
1482,abc
1484,abc
1487,abc
1488,abc
1511,abc
1512,abc
1513,abc
1514,abc
1515,abc
1516,abc
1517,abc
1518,abc
1519,abc
1523,abc
1524,abc
1525,abc
1526,abc
1528,abc
1529,abc
1530,abc
1531,abc
1532,abc
1533,abc
1534,abc
1535,abc
1536,abc
1537,abc
1538,abc
1539,abc
1540,abc
1545,abc
1550,abc
1555,abc
1560,abc
1570,abc
1580,abc
1591,abc
1592,abc
1593,abc
1596,abc
1597,abc
1598,abc
1599,abc
1604,abc
1605,abc
1606,abc
1607,abc
1608,abc
1610,abc
1613,abc
1614,abc
1615,abc
1617,abc
1618,abc
1619,abc
1621,abc
1624,abc
1626,abc
1628,abc
1630,abc
1632,abc
1633,abc
1634,abc
1636,abc
1637,abc
1639,abc
1640,abc
1642,abc
1651,abc
1653,abc
1654,abc
1655,abc
1657,abc
1658,abc
1659,abc
1661,abc
1663,abc
1664,abc
1665,abc
1666,abc
1667,abc
1671,abc
1672,abc
1673,abc
1675,abc
1676,abc
1678,abc
1679,abc
1680,abc
1684,abc
1690,abc
1692,abc
1706,abc
1707,abc
1708,abc
1709,abc
1710,abc
1711,abc
1712,abc
1714,abc
1715,abc
1718,abc
1719,abc
1721,abc
1722,abc
1723,abc
1724,abc
1725,abc
1726,abc
1727,abc
1730,abc
1734,abc
1735,abc
1738,abc
1739,abc
1743,abc
1746,abc
1747,abc
1763,abc
1764,abc
1765,abc
1766,abc
1767,abc
1768,abc
1769,abc
1771,abc
1772,abc
1776,abc
1777,abc
1778,abc
1779,abc
1781,abc
1782,abc
1783,abc
1784,abc
1785,abc
1786,abc
1788,abc
1789,abc
1791,abc
1792,abc
1793,abc
1794,abc
1796,abc
1798,abc
1807,abc
1808,abc
1809,abc
1811,abc
1812,abc
1813,abc
1814,abc
1815,abc
1816,abc
1820,abc
1823,abc
1825,abc
1827,abc
1830,abc
1831,abc
1832,abc
1850,abc
1859,abc
1860,abc
1866,abc
1870,abc
1875,abc
1878,abc
1880,abc
1890,abc
1892,abc
1900,abc
1903,abc
1910,abc
1911,abc
1912,abc
1914,abc
1920,abc
1923,abc
1925,abc
1927,abc
1929,abc
1930,abc
1940,abc
1950,abc
1954,abc
1960,abc
1963,abc
1970,abc
2000,abc
2003,abc
2004,abc
2005,abc
2006,abc
2007,abc
2008,abc
2009,abc
2010,abc
2013,abc
2014,abc
2015,abc
2016,abc
2019,abc
2020,abc
2022,abc
2030,abc
2032,abc
2033,abc
2034,abc
2040,abc
2050,abc
2052,abc
2053,abc
2054,abc
2055,abc
2056,abc
2058,abc
2060,abc
2063,abc
2066,abc
2067,abc
2068,abc
2069,abc
2070,abc
2072,abc
2073,abc
