POLY_,POLY_ID,AREA,PERIMETER,OPPR,X,Y,KOORDH,POSTNAVN,OPPDATDATO,MALEMETODE,NOYAKTIGHE,SYNBARHET,H_MALEMETO,H_NOYAKTIG,MAX_AVVIK,OBJTYPE,POSTNR,KOMM,ID,Lat,Long
876,4274,2044050.73428,6444.34496,4,-23246.47000,6514277.38000,0.00000,EGERSUND,,55,1500,0,0,0,0,Postomr�de,4370,1101,1,59.28772,5.11688
877,4278,55059987.09622,36179.50319,4,-27711.28000,6519680.04000,0.12000,HELLVIK,,55,1500,0,0,0,0,Postomr�de,4375,1101,1,59.28772,5.11688
878,4285,103989655.92990,42441.30154,4,-23415.88000,6595856.36000,0.00000,FINN�Y,,55,1500,0,0,0,0,Postomr�de,4160,1141,1,59.28772,5.11688
879,4290,29230706.14928,23821.98696,4,-18664.33000,6591491.56000,0.00000,FOGN,,55,1500,0,0,0,0,Postomr�de,4164,1141,1,59.28772,5.11688
880,4293,5780686.03039,11029.48527,4,-17476.45000,6594115.96000,0.00000,S�RBOKN,,55,1500,0,0,0,0,Postomr�de,4169,1141,1,59.28772,5.11688
881,4298,21168704.73345,20644.29395,4,-16979.19000,6597071.87000,0.00000,SKARTVEIT,,55,1500,0,0,0,0,Postomr�de,4182,1141,1,59.28772,5.11688
882,4302,10185645.38995,13927.52308,4,-19769.34000,6600331.65000,0.00000,NORD-HIDLE,,55,1500,0,0,0,0,Postomr�de,4173,1141,1,59.28772,5.11688
883,4306,113506677.09814,51789.86183,4,-21288.73000,6606795.96000,0.00000,SJERNAR�Y,,55,1500,0,0,0,0,Postomr�de,4170,1141,1,59.28772,5.11688
884,4318,386516896.70449,94758.77081,4,2273.67000,6567522.98000,0.00000,FORSAND,,55,1500,0,0,0,0,Postomr�de,4110,1129,1,59.28772,5.11688
885,4323,28431529.07042,25063.17145,4,-13335.00000,6555701.99000,1.93000,OLTEDAL,,55,1500,0,0,0,0,Postomr�de,4333,1122,1,59.28772,5.11688
886,4328,10004065.49480,12885.68028,4,-15901.81000,6591740.19000,0.00000,BYRE,,82,0,0,0,0,0,Postomr�de,4168,1141,1,59.28772,5.11688
887,4335,334158869.44210,83177.59520,4,24382.77000,6579354.09000,0.00000,LYSEBOTN,,55,1500,0,0,0,0,Postomr�de,4127,1129,1,59.28772,5.11688
888,4339,129553144.17849,59696.18234,4,4055.18000,6577435.53000,0.00000,SONGESAND,,55,1500,0,0,0,0,Postomr�de,4129,1129,1,59.28772,5.11688
